name,empty_slots,free_bikes,latitude,longitude,timestamp
Caire - Dussoubs,12,25,48.86785342111862,2.349364310503006,2023-12-06T02:45:10.366000Z
Tour d'Auvergne - Rodier,7,10,48.879161,2.343698,2023-12-06T02:45:10.573000Z
Assemblée Nationale,56,4,48.861411014652,2.3201214185208,2023-12-06T02:45:09.541000Z
Dunkerque - Alsace,14,5,48.879355,2.358379,2023-12-06T02:45:09.646000Z
Liard - Amiral Mouchez,0,12,48.8214169,2.342167,2023-12-06T02:45:11.255000Z
Gabriel Lamé,27,7,48.8351212784276,2.385534569621086,2023-12-06T02:45:09.462000Z
Las Cases - Bourgogne,19,3,48.859091104741,2.3185685276985,2023-12-06T02:45:10.239000Z
Félix Ziem - Armand Gauthier,5,20,48.88949630486821,2.333393658804396,2023-12-06T02:45:09.658000Z
Jonquière - Docteur Paul Brousse,2,37,48.894799816683985,2.318705212173216,2023-12-06T02:45:11.998000Z
Square Louis XVI,25,2,48.87320440102894,2.323658830743138,2023-12-06T02:45:10.616000Z
Youri Gagarine - Karl Marx,17,5,48.78448485079149,2.35908430069685,2023-12-06T02:45:09.703000Z
Octave Feuillet - Albéric Magnard,14,7,48.86106902949534,2.2730283066630363,2023-12-06T02:45:11.506000Z
Ney - Porte de Clignancourt,25,0,48.8978867,2.3458001,2023-12-06T02:45:11.355000Z
Gay Lussac - Saint-Jacques,22,2,48.844730256132095,2.341923944866407,2023-12-06T02:45:11.935000Z
Place Jean-Spire-Lemaître,37,13,48.8468428626593,2.452062070369721,2023-12-06T02:45:09.651000Z
Place Georges Guillaumin,23,3,48.874750203956566,2.301771435325988,2023-12-06T02:45:11.638000Z
Bellefond - Poissonnière,4,13,48.87759897050706,2.348463758826256,2023-12-06T02:45:11Z
Jean Oestreicher - Porte de Champerret,15,6,48.88655580065981,2.288640439510346,2023-12-06T02:45:09.668000Z
Alexandre Parodi - Quai de Valmy,8,15,48.87935941942529,2.366596162319184,2023-12-06T02:45:11.211000Z
Ségur - d'Estrées,10,9,48.851419978983,2.3097044974566,2023-12-06T02:45:09.801000Z
Granges aux Belles,12,15,48.8761373390584,2.3680844979417,2023-12-06T02:45:11.734000Z
Regnault - Patay,0,63,48.82435782216384,2.377065159380436,2023-12-06T02:45:10.317000Z
Gare Saint-Lazare - Place de Budapest,38,4,48.877753,2.327339,2023-12-06T02:45:11.183000Z
Edgar Quinet - Raspail,44,1,48.83940266673835,2.32971478253603,2023-12-06T02:45:09.780000Z
Clignancourt - Ordener,24,11,48.891457726153774,2.348636478060487,2023-12-06T02:45:09.714000Z
Dunkerque - Rocroy,15,9,48.880726,2.351464,2023-12-06T02:45:09.866000Z
Abbeville - Faubourg Poissonnière,12,2,48.879223,2.349147,2023-12-06T02:45:11.975000Z
Boulangers - Cardinal Lemoine,14,6,48.8462904,2.3521495,2023-12-06T02:45:10.412000Z
Boudreau - Auber,12,1,48.87219,2.329423,2023-12-06T02:45:12.207000Z
Gare de l'Est - Faubourg-Saint-Martin,29,3,48.875642647477,2.3594588041306,2023-12-06T02:45:10.921000Z
Pereire - Ternes,23,25,48.87973954830735,2.288012132048607,2023-12-06T02:45:09.522000Z
Douai - Bruxelles,24,3,48.88320784122797,2.3308449949028507,2023-12-06T02:45:09.571000Z
Champ de Mars - Cler,13,23,48.856691550115315,2.306646779179573,2023-12-06T02:45:10.556000Z
Quai de l'Horloge - Pont Neuf,11,4,48.857058739111,2.3417982839439,2023-12-06T02:45:12.408000Z
Gare Saint-Lazare - Isly,21,3,48.874777677621296,2.326515804784655,2023-12-06T02:45:09.947000Z
Ambroise Rendu - Porte Brunet,6,11,48.883667,2.395733,2023-12-06T02:45:11.461000Z
Gare de Lyon - Place Louis Armand,50,9,48.845515089794,2.3726498446286,2023-12-06T02:45:10.840000Z
Institut de France,16,1,48.857615678565,2.3358313530377,2023-12-06T02:45:11.385000Z
Porte Pouchet-Bessières,15,7,48.8978765,2.3230632,2023-12-06T02:45:10.897000Z
Vigée-Lebrun - Anselme Payen,15,9,48.838683941628375,2.3110422492027287,2023-12-06T02:45:10.351000Z
Institut du Monde Arabe - Saint-Germain,32,5,48.849063299501,2.3558086529374,2023-12-06T02:45:11.241000Z
Octave Gréard - Tour Eiffel,25,8,48.856502977696,2.2931787543289,2023-12-06T02:45:11.513000Z
Château - République,19,5,48.862923800596,2.4155035614967,2023-12-06T02:45:12.463000Z
Chartres - La Charbonnière,27,7,48.8847601,2.3534657,2023-12-06T02:45:09.890000Z
Lisbonne - Monceau,29,4,48.87745567681383,2.309694221419506,2023-12-06T02:45:09.411000Z
Moncey - Blanche,12,3,48.88006587474148,2.3310810327529907,2023-12-06T02:45:11.262000Z
Rochechouart lamartine,11,12,48.876719895109,2.344393021854,2023-12-06T02:45:10.286000Z
Jemmapes - Ecluses Saint-Martin,2,11,48.87748519186726,2.3660067468881607,2023-12-06T02:45:11.614000Z
Thionville - Ourcq,2,22,48.88917613743794,2.3833653330802917,2023-12-06T02:45:11.650000Z
Gare du Nord - Hôpital Lariboisière,42,6,48.881949,2.352339,2023-12-06T02:45:09.406000Z
Legendre - Clichy,15,24,48.88896161855884,2.322528975094376,2023-12-06T02:45:11.356000Z
Quai de la Seine,21,2,48.884492238407525,2.3703941702842717,2023-12-06T02:45:10.914000Z
Cité Riverin - Château d'Eau,4,14,48.870702423554306,2.358739863900845,2023-12-06T02:45:11.984000Z
Mutualité,35,2,48.848225572724,2.3502873256803,2023-12-06T02:45:09.657000Z
Rossini - Laffitte,30,1,48.87334627510507,2.337980867701675,2023-12-06T02:45:11.651000Z
Pyrénées - Emmery,35,5,48.872010281270974,2.392039597034455,2023-12-06T02:45:11.559000Z
Diderot - Reuilly,6,38,48.847208456061,2.3861273378134,2023-12-06T02:45:09.598000Z
Saint-Ambroise - Parmentier,23,14,48.862147844548,2.3772348091006,2023-12-06T02:45:11.737000Z
Belidor - Gouvion-Saint-Cyr,37,2,48.88022154052015,2.2854680567979813,2023-12-06T02:45:09.249000Z
Place Balard,16,6,48.836395736424,2.2784192115068,2023-12-06T02:45:09.371000Z
Place de Rhin et Danube,4,13,48.88192765861766,2.392586767673493,2023-12-06T02:45:09.345000Z
Roquette - Thiéré,10,12,48.85507930579506,2.3733686318721463,2023-12-06T02:45:10.039000Z
Berri - Haussmann,33,2,48.874746047357135,2.3082953318953514,2023-12-06T02:45:12.343000Z
Saint-Maur - Roquette,2,43,48.858688774062955,2.383553994571467,2023-12-06T02:45:12.238000Z
11 Novembre 1918 - 8 Mai 1945,14,22,48.80889533774377,2.5382421165704727,2023-12-06T02:45:09.786000Z
Place Du Général De Gaulle,15,10,48.8687591,2.4329931,2023-12-06T02:45:11.912000Z
Exelmans - Versailles,26,22,48.84097491091973,2.264390252530575,2023-12-06T02:45:10.172000Z
Pereire - Rennequin,3,19,48.88364782887555,2.2952447086572647,2023-12-06T02:45:09.228000Z
Port-Royal - Hôpital du Val-de-Grâce,6,10,48.837668272811,2.3448138346607,2023-12-06T02:45:09.840000Z
Claude Decaen - Cannebière,8,19,48.83761417037952,2.397253782195704,2023-12-06T02:45:10.779000Z
Gare d'Austerlitz,10,3,48.842524,2.364044,2023-12-06T02:45:11.157000Z
Desaix - Edgar Faure,6,5,48.852804604940296,2.293077029857222,2023-12-06T02:45:09.767000Z
Delphine Seyrig - Général Leclerc,50,3,48.893923963057865,2.39790290594101,2023-12-06T02:45:12.473000Z
Panthéon - Valette,36,2,48.84702057165222,2.3464982619671075,2023-12-06T02:45:10.577000Z
Square Simon Bolivar,9,13,48.8750898883217,2.3826304078102116,2023-12-06T02:45:10.556000Z
Récollets - Square Villemin,15,1,48.875034655883944,2.359801238597928,2023-12-06T02:45:09.825000Z
Amelot - Saint-Sébastien,2,23,48.861142162761,2.3677996181077,2023-12-06T02:45:11.130000Z
Saint-François-Xavier,32,9,48.85154484769,2.3146149516106,2023-12-06T02:45:10.387000Z
Place Marcel Cachin,0,32,48.81411442356866,2.39090770483017,2023-12-06T02:45:10.013000Z
Pyramide - Ecole du Breuil ,25,9,48.82237977153955,2.4586871266365056,2023-12-06T02:45:11.673000Z
Liège - Moscou,14,3,48.8795431,2.3264628,2023-12-06T02:45:11.024000Z
Mairie de Montreuil,50,2,48.86131452758348,2.440614402294159,2023-12-06T02:45:10.053000Z
Richard Lenoir - Republique,42,15,48.8667175,2.3692541,2023-12-06T02:45:09.311000Z
Fabre d'Eglantine - Place de la Nation,60,6,48.8471116,2.3956204,2023-12-06T02:45:10.327000Z
Cimetière de Montmartre,41,2,48.886472466142,2.3328901827335,2023-12-06T02:45:09.223000Z
Bagnolet - Orteaux,12,23,48.85708641027236,2.3984125256538396,2023-12-06T02:45:12.065000Z
Anatole France - President Roosevelt,5,23,48.9155156,2.3814103,2023-12-06T02:45:11.617000Z
Henry Farman,11,5,48.83372430280548,2.2713854536414146,2023-12-06T02:45:09.266000Z
Jourdain - Place des Grandes Rigoles,19,2,48.87403113727167,2.38959476351738,2023-12-06T02:45:10.764000Z
Rocher - Laborde,61,4,48.87590240712654,2.322616316378116,2023-12-06T02:45:09.807000Z
Fontenay - Libération,9,16,48.84780306364685,2.445141971111298,2023-12-06T02:45:10.819000Z
Grands Moulins de Pantin,42,6,48.89738369720229,2.3959985375404362,2023-12-06T02:45:09.979000Z
Gambetta - Saint Fargeau,19,4,48.871244610447015,2.4039056897163396,2023-12-06T02:45:11.142000Z
Cimetière de Fontenay-sous-Bois,8,7,48.84706173362218,2.4787822365760808,2023-12-06T02:45:09.558000Z
