lat&lon,name_of_business,distance_on_4sq,address
48.85375581057431_2.3390958085656166,Le Choupinet,685,58 boulevard Saint-Michel
48.85375581057431_2.3390958085656166,Bar Joséphine,924,"45 boulevard Raspail, 6e"
48.85375581057431_2.3390958085656166,Conciergerie,499,"2 boulevard du Palais, 1er"
48.85375581057431_2.3390958085656166,Kong,671,"1 rue du Pont Neuf, 1er"
48.85375581057431_2.3390958085656166,The Winged Victory of Samothrace (La Victoire de Samothrace),715,Musée du Louvre
48.85375581057431_2.3390958085656166,Les Antiquaires,940,13 rue du Bac
48.85375581057431_2.3390958085656166,Le Comptoir des Saints Pères,603,29 rue des Saints-Pères
48.85375581057431_2.3390958085656166,Motors Coffee,841,7 rue des Halles
48.85375581057431_2.3390958085656166,Café Louise,506,155 boulevard Saint-Germain
48.85375581057431_2.3390958085656166,Noir,940,9 rue de Luynes
48.85375581057431_2.3390958085656166,Café Marly,922,"93 rue de Rivoli, 1er"
48.85375581057431_2.3390958085656166,Pret A Manger,913,34-36 rue du Louvre
48.85375581057431_2.3390958085656166,de la galerie d'Apollon au Louvre,700,4 place du Louvre
48.85375581057431_2.3390958085656166,Carrousel du Louvre,946,99 rue de Rivoli
48.85375581057431_2.3390958085656166,LV Café,607,2 rue du Pont Neuf
48.85375581057431_2.3390958085656166,Le Café Richelieu,880,Musée du Louvre
48.85375581057431_2.3390958085656166,Le Mistral,728,2 place du Châtelet
48.85375581057431_2.3390958085656166,Le Départ,409,1 place Saint-Michel
48.85375581057431_2.3390958085656166,Bo&Mie,783,91 rue de Rivoli
48.85375581057431_2.3390958085656166,Restaurant le Voltaire,881,27 quai Voltaire
48.85375581057431_2.3390958085656166,Le Grenier de Notre Dame,717,18 rue de la Bûcherie
48.85375581057431_2.3390958085656166,Café Panis,697,"21 quai de Montebello, 5e"
48.85375581057431_2.3390958085656166,Brasserie les Deux Palais,531,3 boulevard du Palais
48.85375581057431_2.3390958085656166,Café Mabillon,263,164 boulevard Saint-Germain rue du Four
48.85375581057431_2.3390958085656166,Starbucks,869,11 boulevard Sebastopol
48.85375581057431_2.3390958085656166,Le Zimmer,723,1 place du Châtelet
48.867872484749_2.3648982158072,Umami Matcha Café,178,22 rue Béranger
48.867872484749_2.3648982158072,Bouillon République,199,39 boulevard du Temple
48.867872484749_2.3648982158072,Boulangerie Utopie,397,20 rue Jean Pierre Timbaud
48.867872484749_2.3648982158072,Du Pain et des Idées,402,"34 rue Yves Toudic, 10e"
48.867872484749_2.3648982158072,La Chocolaterie de Jacques Genin,373,"133 rue de Turenne, 3e"
48.867872484749_2.3648982158072,Little Red Door,474,"60 rue Charlot, Paris"
48.867872484749_2.3648982158072,Holybelly 5,511,19 rue Lucien Sampaix
48.867872484749_2.3648982158072,Le Comptoir Général,515,80-82 quai de Jemmapes
48.867872484749_2.3648982158072,Palais des Glaces,282,37 rue du Faubourg du Temple
48.867872484749_2.3648982158072,Ober Mamma,540,107 boulevard Richard Lenoir
48.867872484749_2.3648982158072,ISTR,535,41 rue Notre Dame de Nazareth
48.867872484749_2.3648982158072,Candelaria,541,"56 rue de Saintonge, Paris"
48.867872484749_2.3648982158072,CopperBay,593,"5 rue Bouchardon, 10e"
48.867872484749_2.3648982158072,Marché des Enfants-Rouges,601,"39 rue de Bretagne, 3e"
48.867872484749_2.3648982158072,The Broken Arm,438,"12 rue Perrée, 3e"
48.867872484749_2.3648982158072,Elmer,396,30 rue Notre Dame de Nazareth
48.867872484749_2.3648982158072,Les Enfants du Marché,598,39 rue de Bretagne
48.867872484749_2.3648982158072,Le Mary Celeste,681,"1 rue Commines, Paris"
48.867872484749_2.3648982158072,Chez Alain Miam Miam,648,26 rue Charlot
48.867872484749_2.3648982158072,Martin Bar,297,40 bis rue René Boulanger
48.867872484749_2.3648982158072,Boulangerie Chambelland,717,"14 rue Ternaux, 11e"
48.867872484749_2.3648982158072,La Marine,303,55 quai de Valmy
48.867872484749_2.3648982158072,Aux Péchés Normands,55,9 rue du Faubourg du Temple 75010
48.867872484749_2.3648982158072,Bon Esprit,721,310 rue Saint-Martin
48.867872484749_2.3648982158072,La Gaîté Lyrique,848,"3bis rue Papin, 3e"
48.867872484749_2.3648982158072,Les Enfants Perdus,755,9 rue des Récollets
48.867872484749_2.3648982158072,Strada Café,834,94 rue du Temple
48.867872484749_2.3648982158072,Partisan Cafe Artisanal,931,36 rue de Turbigo
48.867872484749_2.3648982158072,Musée de la chasse et de la nature,843,62 rue des Archives
48.867872484749_2.3648982158072,Breizh Café,837,109 rue Vieille du Temple
48.867872484749_2.3648982158072,Le Chef Thaï,830,59 rue des Gravilliers
48.867872484749_2.3648982158072,République of Coffee,214,2 boulevard Saint-Martin
48.867872484749_2.3648982158072,Café Charlot,573,38 rue de Bretagne
48.867872484749_2.3648982158072,Chez Haki,805,43 rue des Gravilliers
48.867872484749_2.3648982158072,Loustic,872,"40 rue Chapon, 3e"
48.867872484749_2.3648982158072,Musée National Picasso (Musée Picasso),905,5 rue de Thorigny
48.867872484749_2.3648982158072,Chez Shen,760,39 rue au Maire
48.867872484749_2.3648982158072,The Coffee. コーヒー,769,40 rue des Gravilliers
48.867872484749_2.3648982158072,Bambino,809,25 rue Saint-Sébastien
48.867872484749_2.3648982158072,Le Royal China,839,85 rue Beaubourg
48.867872484749_2.3648982158072,Chez Prune,418,36 rue Beaurepaire quai de Valmy
48.867872484749_2.3648982158072,La Cantine de Merci,803,111 boulevard Beaumarchais
48.867872484749_2.3648982158072,Mon Coco,135,6 place de la République
48.867872484749_2.3648982158072,Brasserie Dubillot,955,222 rue Saint-Denis
48.867872484749_2.3648982158072,Burger And Fries,931,1 boulevard de Bonne Nouvelle rue Saint-Denis
48.867872484749_2.3648982158072,Le Plomb du Cantal,723,4 boulevard Saint Denis
48.867872484749_2.3648982158072,Le Roi de Pique,694,126 rue du Temple
48.867872484749_2.3648982158072,Bo&Mie,713,359 rue Saint-Martin
48.867872484749_2.3648982158072,Brasserie Julien,903,16 rue du Faubourg Saint-Denis
48.867872484749_2.3648982158072,Le Sully,912,13 rue du Faubourg Saint-Denis
48.856451985395786_2.334851883351803,Monnaie de Paris,310,"11 quai de Conti, 6e"
48.856451985395786_2.334851883351803,Restaurant Guy Savoy,297,"11 quai de Conti, 6e"
48.856451985395786_2.334851883351803,Venus of Milo (Vénus de Milo),420,Musée du Louvre
48.856451985395786_2.334851883351803,Les Deux Magots,299,6 place Saint-Germain des Prés
48.856451985395786_2.334851883351803,Relais de l'Entrecôte Saint Germain,245,20 Bis rue Saint Benoît
48.856451985395786_2.334851883351803,The Louvre (Musée du Louvre),502,99 rue de Rivoli
48.856451985395786_2.334851883351803,Café de Flore,316,"172 boulevard Saint-Germain, 172"
48.856451985395786_2.334851883351803,Kodawari Ramen,309,29 rue Mazarine
48.856451985395786_2.334851883351803,Pavillon des Sessions – Arts d'Afrique,514,Musée du Louvre
48.856451985395786_2.334851883351803,L'Avant Comptoir du Marché,520,"15 rue Lobineau, 6e"
48.856451985395786_2.334851883351803,Pavillon de l'Horloge,488,Musée du Louvre
48.856451985395786_2.334851883351803,Saint Pearl,356,38 rue des Saints-Pères
48.856451985395786_2.334851883351803,Ralph's Restaurant,393,173 boulevard Saint Germain
48.856451985395786_2.334851883351803,Le Comptoir des Saints Pères,227,29 rue des Saints-Pères
48.856451985395786_2.334851883351803,Les Antiquaires,516,13 rue du Bac
48.856451985395786_2.334851883351803,La Robe & la Mousse,617,3 rue Monsieur le Prince
48.856451985395786_2.334851883351803,Orsay Museum (Musée d'Orsay),733,1 rue de la Légion d'Honneur
48.856451985395786_2.334851883351803,The Winged Victory of Samothrace (La Victoire de Samothrace),420,Musée du Louvre
48.856451985395786_2.334851883351803,Le Fumoir,623,"6 rue de l’Amiral de Coligny, 1er"
48.856451985395786_2.334851883351803,Loulou,712,107 rue de Rivoli
48.856451985395786_2.334851883351803,Café Marly,590,"93 rue de Rivoli, 1er"
48.856451985395786_2.334851883351803,Carrousel du Louvre,578,99 rue de Rivoli
48.856451985395786_2.334851883351803,Noir,645,9 rue de Luynes
48.856451985395786_2.334851883351803,Le Tout,587,Cheval Blanc
48.856451985395786_2.334851883351803,de la galerie d'Apollon au Louvre,409,4 place du Louvre
48.856451985395786_2.334851883351803,Shiso Burger,837,21 quai Saint Michel
48.856451985395786_2.334851883351803,Café Louise,322,155 boulevard Saint-Germain
48.856451985395786_2.334851883351803,Sanukiya,921,"9 rue d'Argenteuil, 1er"
48.856451985395786_2.334851883351803,Le Café Richelieu,571,Musée du Louvre
48.856451985395786_2.334851883351803,Musée du Luxembourg,867,19 rue de Vaugirard
48.856451985395786_2.334851883351803,Kodawari Ramen,887,12 rue de Richelieu
48.856451985395786_2.334851883351803,Fontaine Saint-Michel,743,7B place Saint-Michel
48.856451985395786_2.334851883351803,Bourse de Commerce – Pinault Collection,907,2 rue de Viarmes
48.856451985395786_2.334851883351803,Le Saint Germain,703,62 rue du Bac
48.856451985395786_2.334851883351803,Le Nemours,754,2 place Colette
48.856451985395786_2.334851883351803,Pret A Manger,768,34-36 rue du Louvre
48.856451985395786_2.334851883351803,Colonnes de Buren,810,place du Palais-Royal
48.856451985395786_2.334851883351803,Le Procope,480,"13 rue de l'Ancienne Comédie, 6e"
48.856451985395786_2.334851883351803,Café RUC,744,159 rue Saint Honor\u00e9
48.856451985395786_2.334851883351803,Marché Saint-Germain,492,"4-6 rue Lobineau, 6e"
48.856451985395786_2.334851883351803,Café Kitsuné Louvre,839,2 place André Malraux
48.856451985395786_2.334851883351803,Café Kitsuné Tuileries,948,208 rue de Rivoli
48.856451985395786_2.334851883351803,Motors Coffee,939,7 rue des Halles
48.856451985395786_2.334851883351803,Bo&Mie,648,91 rue de Rivoli
48.856451985395786_2.334851883351803,LV Café,642,2 rue du Pont Neuf
48.856451985395786_2.334851883351803,Conciergerie,737,"2 boulevard du Palais, 1er"
48.856451985395786_2.334851883351803,Le Forum des images,993,Forum des Halles
48.856451985395786_2.334851883351803,Le Restaurant du Musée d'Orsay,813,1 rue de la Légion d'Honneur
48.856451985395786_2.334851883351803,Starbucks,785,2 rue de l'Échelle
48.856451985395786_2.334851883351803,Baguett's Cafe,988,33 rue de Richelieu
48.87929591733507_2.3373600840568547,Le Bon Georges,183,"45 rue Saint-Georges, 9e"
48.87929591733507_2.3373600840568547,Dumbo,264,64 rue Jean-Baptiste Pigalle
48.87929591733507_2.3373600840568547,KBCafeshop,289,"53 avenue Trudaine, 9e"
48.87929591733507_2.3373600840568547,Dirty Dick,251,10 rue Frochot
48.87929591733507_2.3373600840568547,Le pain retrouve,244,rue des Martyrs
48.87929591733507_2.3373600840568547,Pink Mamma,357,"20 bis, rue de Douai"
48.87929591733507_2.3373600840568547,Bouillon Pigalle,367,22 boulevard de Clichy
