latitude,longitude,lat_lon
48.865983,2.275725,48.865983_2.275725
48.85375581057431,2.3390958085656166,48.85375581057431_2.3390958085656166
48.867872484749,2.3648982158072,48.867872484749_2.3648982158072
48.856451985395786,2.334851883351803,48.856451985395786_2.334851883351803
48.87929591733507,2.3373600840568547,48.87929591733507_2.3373600840568547
48.855907555969,2.3925706744194,48.855907555969_2.3925706744194
48.840855311763,2.3875549435616,48.840855311763_2.3875549435616
48.85129643366528,2.325061820447445,48.85129643366528_2.325061820447445
48.851518815017,2.3436703160405,48.851518815017_2.3436703160405
48.881973298352,2.301132157445,48.881973298352_2.301132157445
48.88287775178599,2.287667370814871,48.88287775178599_2.287667370814871
48.871044051984,2.3661044619878,48.871044051984_2.3661044619878
48.87442277342655,2.3284685611724854,48.87442277342655_2.3284685611724854
48.837525839067,2.3360354080796,48.837525839067_2.3360354080796
48.85165383178419,2.3308077827095985,48.85165383178419_2.3308077827095985
48.853147816545,2.3263905197382,48.853147816545_2.3263905197382
48.84389286531899,2.351966388523578,48.84389286531899_2.351966388523578
48.84708159081946,2.321374788880348,48.84708159081946_2.321374788880348
48.91039875761846,2.3851355910301213,48.91039875761846_2.3851355910301213
48.81580226360801,2.376804985105991,48.81580226360801_2.376804985105991
48.83602224288688,2.4708339950830287,48.83602224288688_2.4708339950830287
48.835583838706,2.2325500845909,48.835583838706_2.2325500845909
48.835092787824,2.3534681351338,48.835092787824_2.3534681351338
48.879089,2.354235,48.879089_2.354235
48.876116,2.288124,48.876116_2.288124
48.7949023812189,2.373418360948562,48.7949023812189_2.373418360948562
48.84504716661511,2.3494647851273465,48.84504716661511_2.3494647851273465
48.8570414504784,2.37289470306807,48.8570414504784_2.37289470306807
48.84479928858768,2.329337755887181,48.84479928858768_2.329337755887181
48.83310149953933,2.299380004405976,48.83310149953933_2.299380004405976
48.851315406715976,2.291950285434724,48.851315406715976_2.291950285434724
48.879406604954,2.3034455627202988,48.879406604954_2.3034455627202988
48.830981659316855,2.3481646925210957,48.830981659316855_2.3481646925210957
48.871031137596,2.379056852114,48.871031137596_2.379056852114
48.82234096593411,2.327861653302471,48.82234096593411_2.327861653302471
48.86785,2.446748,48.86785_2.446748
48.83823094269141,2.270506024360657,48.83823094269141_2.270506024360657
48.790147809608,2.4328628182411,48.790147809608_2.4328628182411
48.89792240854517,2.32851451022192,48.89792240854517_2.32851451022192
48.85384405433352,2.289705348222022,48.85384405433352_2.289705348222022
48.79628807093802,2.417212128639221,48.79628807093802_2.417212128639221
48.89594736851349,2.381133802246315,48.89594736851349_2.381133802246315
48.882428,2.314002,48.882428_2.314002
48.84057992369012,2.2584119439125065,48.84057992369012_2.2584119439125065
48.84884147189881,2.426325418925233,48.84884147189881_2.426325418925233
48.8804934032465,2.39806417375803,48.8804934032465_2.39806417375803
48.892648526839,2.2136941552162,48.892648526839_2.2136941552162
48.81807418981508,2.326700985431672,48.81807418981508_2.326700985431672
48.848951441614,2.3411329463124,48.848951441614_2.3411329463124
48.78980918988166,2.3143940046429634,48.78980918988166_2.3143940046429634
48.871417284355,2.3076787590981,48.871417284355_2.3076787590981
48.888735896947,2.3469526693225,48.888735896947_2.3469526693225
48.8693268535238,2.395084574818611,48.8693268535238_2.395084574818611
48.86785342111862,2.349364310503006,48.86785342111862_2.349364310503006
48.879161,2.343698,48.879161_2.343698
48.861411014652,2.3201214185208,48.861411014652_2.3201214185208
48.879355,2.358379,48.879355_2.358379
48.8214169,2.342167,48.8214169_2.342167
48.8351212784276,2.385534569621086,48.8351212784276_2.385534569621086
48.859091104741,2.3185685276985,48.859091104741_2.3185685276985
48.88949630486821,2.333393658804396,48.88949630486821_2.333393658804396
48.89479981668399,2.318705212173216,48.89479981668399_2.318705212173216
48.87320440102894,2.323658830743138,48.87320440102894_2.323658830743138
48.78448485079149,2.35908430069685,48.78448485079149_2.35908430069685
48.86106902949534,2.2730283066630363,48.86106902949534_2.2730283066630363
48.8978867,2.3458001,48.8978867_2.3458001
48.844730256132095,2.341923944866407,48.844730256132095_2.341923944866407
48.8468428626593,2.452062070369721,48.8468428626593_2.452062070369721
48.874750203956566,2.301771435325988,48.874750203956566_2.301771435325988
48.87759897050706,2.348463758826256,48.87759897050706_2.348463758826256
48.88655580065981,2.288640439510346,48.88655580065981_2.288640439510346
48.87935941942529,2.366596162319184,48.87935941942529_2.366596162319184
48.851419978983,2.3097044974566,48.851419978983_2.3097044974566
48.8761373390584,2.3680844979417,48.8761373390584_2.3680844979417
