lat&lon,name_x,address,distance,name_y,rating,reviews,distance_on_yelp
48.78980918988166_2.3143940046429634,McDonald's,149/151 avenue Aristide Briand,885,McDonald's,5.0,1,544.0
48.78980918988166_2.3143940046429634,Foulo,27 avenue du Général Leclerc,760,Foulo,3.5,10,547.0
48.888735896947_2.3469526693225,Atelier Ramey,23 rue Ramey,892,L'Atelier Ramey,5.0,26,54.0
48.888735896947_2.3469526693225,La Boite aux Lettres,108 rue Lepic,521,La Boîte aux Lettres,5.0,51,676.0
48.8693268535238_2.395084574818611,Benoît Castel,150 rue de Ménilmontant,562,Benoît Castel,4.0,19,254.0
48.8693268535238_2.395084574818611,Aux Ours,236 rue des Pyrénées,693,Aux Ours,3.5,29,234.0
48.861411014652_2.3201214185208,Orsay Museum (Musée d'Orsay),1 rue de la Légion d'Honneur,340,Musée d’Orsay,4.5,918,402.0
48.879355_2.358379,Brasserie Bellanger,140 rue du Faubourg Poissonnière,737,Brasserie Bellanger,5.0,21,635.0
48.879355_2.358379,Belushi's Gare du Nord,5 rue de Dunkerque,787,Belushi's,2.5,32,23.0
48.8214169_2.342167,La Fabrique aux Gourmandises,82 rue de l'Amiral Mouchez,902,La Fabrique aux Gourmandises,5.0,5,64.0
48.8351212784276_2.385534569621086,La Cinémathèque française,51 rue de Bercy,899,Cinémathèque Française,4.0,40,322.0
48.8351212784276_2.385534569621086,Musée des Arts Forains,53 avenue des Terroirs de France,709,Musée des Arts Forains - Les Pavillons de Bercy,4.5,40,394.0
48.859091104741_2.3185685276985,Orsay Museum (Musée d'Orsay),1 rue de la Légion d'Honneur,815,Musée d’Orsay,4.5,918,514.0
48.859091104741_2.3185685276985,Les Antiquaires,13 rue du Bac,879,Les Antiquaires,4.5,465,716.0
48.88949630486821_2.333393658804396,La Boite aux Lettres,108 rue Lepic,213,La Boîte aux Lettres,5.0,51,459.0
48.89479981668399_2.318705212173216,Chez Irène et Bernard,58 rue Gauthey,617,Irène et Bernard,4.0,42,289.0
48.89479981668399_2.318705212173216,Café Dose Paris Batignolles,82 place du Docteur Félix Lobligeois,839,Dose,4.5,23,849.0
48.89479981668399_2.318705212173216,Scoop Me a Cookie,72 rue Legendre,952,Scoop Me a Cookie,4.5,25,951.0
48.78448485079149_2.35908430069685,Assya,114 rue de Chevilly,419,Augusta Pizza,5.0,1,464.0
48.86106902949534_2.2730283066630363,Bon,25 rue de la Pompe,847,Bon,4.0,120,157.0
48.86106902949534_2.2730283066630363,Musée Marmottan Monet,2 rue Louis Boilly,947,Musée Marmottan Monet,4.5,70,459.0
48.8978867_2.3458001,Le Ruisseau,65 rue du Ruisseau,302,Le Ruisseau,4.5,46,533.0
48.844730256132095_2.341923944866407,Au Père Louis,38 rue Monsieur le Prince,640,Au Père Louis,4.0,268,485.0
48.87759897050706_2.348463758826256,Brasserie Bellanger,140 rue du Faubourg Poissonnière,589,Brasserie Bellanger,5.0,21,387.0
48.88655580065981_2.288640439510346,Schwartz's Deli,22 avenue Niel,359,Schwartz's Deli,4.0,55,841.0
48.87935941942529_2.366596162319184,Khayma rooftop,9-11 place du Colonel Fabien,486,Generator Paris,3.5,53,251.0
48.87935941942529_2.366596162319184,Siseng,82 quai de Jemmapes,832,Siseng,4.5,161,793.0
48.851419978983_2.3097044974566,Kozy Salon Urbain,79 avenue Bosquet,833,Kozy Bosquet,4.5,298,544.0
48.8761373390584_2.3680844979417,Siseng,82 quai de Jemmapes,907,Siseng,4.5,161,479.0
48.8761373390584_2.3680844979417,Khayma rooftop,9-11 place du Colonel Fabien,744,Generator Paris,3.5,53,258.0
48.83940266673835_2.32971478253603,La Rotonde,105 boulevard du Montparnasse,760,La Rotonde,4.0,185,331.0
48.891457726153774_2.348636478060487,Atelier Ramey,23 rue Ramey,940,L'Atelier Ramey,5.0,26,381.0
48.880726_2.351464,Brasserie Bellanger,140 rue du Faubourg Poissonnière,748,Brasserie Bellanger,5.0,21,107.0
48.879223_2.349147,Brasserie Bellanger,140 rue du Faubourg Poissonnière,871,Brasserie Bellanger,5.0,21,199.0
48.87219_2.329423,Palais Garnier (Opéra Garnier),8 rue Scribe,303,Opéra National de Paris - Palais Garnier,4.5,252,166.0
48.87219_2.329423,Café de la Paix,5 place de l'Opéra,929,Café de la Paix,3.5,247,224.0
48.875642647477_2.3594588041306,Holybelly 5,19 rue Lucien Sampaix,989,Holybelly 19,4.5,300,402.0
48.88320784122797_2.3308449949028507,La Boite aux Lettres,108 rue Lepic,151,La Boîte aux Lettres,5.0,51,671.0
