empty_slots,free_bikes,latitude,longitude,timestamp
32,3,48.865983,2.275725,2023-12-04T04:49:10.102000Z
33,21,48.85375581057431,2.3390958085656166,2023-12-04T04:49:09.860000Z
26,11,48.867872484749,2.3648982158072,2023-12-04T04:49:07.405000Z
11,9,48.856451985395786,2.334851883351803,2023-12-04T04:49:07.921000Z
15,6,48.87929591733507,2.3373600840568547,2023-12-04T04:49:08.016000Z
16,4,48.855907555969,2.3925706744194,2023-12-04T04:49:09.440000Z
3,27,48.840855311763,2.3875549435616,2023-12-04T04:49:07.348000Z
54,5,48.851296433665276,2.325061820447445,2023-12-04T04:49:09.801000Z
31,11,48.851518815017,2.3436703160405,2023-12-04T04:49:10.036000Z
30,9,48.881973298352,2.301132157445,2023-12-04T04:49:09.448000Z
26,9,48.88287775178599,2.287667370814871,2023-12-04T04:49:07.813000Z
46,13,48.871044051984,2.3661044619878,2023-12-04T04:49:07.658000Z
19,2,48.874422773426545,2.3284685611724854,2023-12-04T04:49:07.812000Z
22,2,48.837525839067,2.3360354080796,2023-12-04T04:49:08.307000Z
13,8,48.85165383178419,2.3308077827095985,2023-12-04T04:49:07.880000Z
13,5,48.853147816545,2.3263905197382,2023-12-04T04:49:07.217000Z
8,15,48.84389286531899,2.3519663885235786,2023-12-04T04:49:08.869000Z
14,2,48.84708159081946,2.321374788880348,2023-12-04T04:49:07.857000Z
16,14,48.91039875761846,2.3851355910301213,2023-12-04T04:49:08.130000Z
23,4,48.81580226360801,2.376804985105991,2023-12-04T04:49:08.021000Z
39,9,48.836022242886884,2.4708339950830287,2023-12-04T04:49:07.228000Z
18,7,48.835583838706,2.2325500845909,2023-12-04T04:49:09.409000Z
35,11,48.835092787824,2.3534681351338,2023-12-04T04:49:08.670000Z
23,1,48.879089,2.354235,2023-12-04T04:49:08.227000Z
58,4,48.876116,2.288124,2023-12-04T04:49:09.785000Z
10,9,48.794902381218904,2.3734183609485626,2023-12-04T04:49:09.233000Z
11,6,48.84504716661511,2.3494647851273465,2023-12-04T04:49:07.847000Z
0,39,48.8570414504784,2.37289470306807,2023-12-04T04:49:07.816000Z
